Min0,Min1,Min2,Min3,Min4,Max0,Max1,Max2,Max3,Max4,Mean0,Mean1,Mean2,Mean3,Mean4,Std0,Std1,Std2,Std3,Std4,Range0,Range1,Range2,Range3,Range4,Peaksen0peak0,Peaksen0peak1,Peaksen1peak0,Peaksen1peak1,Peaksen2peak0,Peaksen2peak1,Peaksen3peak0,Peaksen3peak1,Peaksen4peak0,Peaksen4peak1,Avg_mpu1,Avg_mpu2,Std_mpu1,Std_mpu2,Type_of_contact
0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,78.9,-150.9,67.9,84.8,squeeze
0.3,0.4,0.6,0.3,0.4,0.4,0.4,0.7,0.4,0.5,0.4,0.4,0.7,0.3,0.4,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,54.9,-146.3,6.9,8.1,choke
0.6,0.5,0.5,0.4,0.6,0.6,0.5,0.5,0.4,0.7,0.6,0.5,0.5,0.4,0.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50.4,-146.4,3.8,3.3,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,-148.7,3.3,2.4,touch
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-49.1,-236.6,789.6,745.5,shove
0.6,0.3,0.5,0.4,0.6,0.6,0.3,0.5,0.4,0.7,0.6,0.3,0.5,0.4,0.7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,56.7,-148,2.7,3.2,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,191.3,-23.5,832.7,908.3,shove
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,1,2,1,54.2,-150.1,40.9,70.7,squeeze
0.8,0.6,0.7,0.6,0.8,0.9,0.6,0.8,0.7,0.9,0.8,0.6,0.7,0.6,0.9,0,0,0,0,0,0.2,0,0.1,0.1,0.1,0,1,0,0,0,1,0,1,2,0,31.9,-149.6,42.5,17.6,choke
0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.4,-165.3,664.2,111.5,shove
