col1,col2,col3,col4,col5,col6,class
0.66,0.53,0.55,0.65,0.51,-15,0
0.66,0.47,0.58,0.65,0.52,177,2
0.65,0.51,0.54,0.65,0.53,67,2
0.66,0.54,0.54,0.65,0.57,135,2
0.67,0.55,0.54,0.65,0.57,-80,0
0.66,0.5,0.54,0.63,0.57,-45,0
0.65,0.49,0.56,0.65,0.52,98,2
0.65,0.51,0.55,0.65,0.55,215,2
0.66,0.57,0.55,0.66,0.57,72,2
0.67,0.55,0.55,0.65,0.56,-124,0
0.66,0.51,0.52,0.65,0.52,-256,0
0.66,0.53,0.55,0.66,0.52,187,2
0.67,0.57,0.55,0.66,0.57,130,2
0.7,0.57,0.56,0.66,0.6,-3,1
0.67,0.51,0.56,0.66,0.54,-10,0
0.65,0.51,0.55,0.65,0.51,138,2
0.69,0.57,0.56,0.65,0.57,74,2
0.66,0.55,0.55,0.66,0.58,42,2
0.65,0.51,0.54,0.65,0.52,-8,0
0.65,0.54,0.56,0.66,0.51,82,2
0.66,0.58,0.56,0.66,0.57,63,2
0.69,0.56,0.55,0.66,0.59,-236,1
0.65,0.51,0.55,0.66,0.53,9,2
0.65,0.52,0.57,0.66,0.51,-36,0
0.66,0.54,0.57,0.67,0.55,231,2
0.69,0.56,0.58,0.67,0.59,-75,1
0.65,0.5,0.56,0.65,0.53,-39,0
0.63,0.51,0.57,0.66,0.53,111,2
0.65,0.56,0.57,0.65,0.56,141,2
0.69,0.56,0.58,0.68,0.59,20,3
0.66,0.5,0.56,0.66,0.54,31,2
0.64,0.5,0.56,0.65,0.5,74,2
0.64,0.51,0.56,0.66,0.52,126,2
0.69,0.58,0.57,0.67,0.6,11,3
0.69,0.56,0.56,0.66,0.58,-77,1
0.65,0.52,0.55,0.66,0.53,53,2
0.64,0.53,0.56,0.65,0.51,-2,0
0.64,0.51,0.57,0.65,0.51,352,2
0.69,0.58,0.57,0.66,0.6,89,3
0.73,0.59,0.59,0.67,0.63,-116,1
0.65,0.54,0.57,0.67,0.5,68,2
0.65,0.51,0.56,0.65,0.5,53,2
0.64,0.52,0.56,0.65,0.5,47,2
0.65,0.52,0.56,0.66,0.57,46,2
0.64,0.52,0.56,0.65,0.51,-10,0
0.65,0.54,0.57,0.65,0.54,236,2
0.65,0.58,0.56,0.65,0.59,67,2
0.66,0.51,0.56,0.66,0.53,9,2
0.65,0.51,0.56,0.65,0.5,-23,0
0.64,0.56,0.56,0.66,0.54,224,2
0.65,0.61,0.57,0.66,0.62,21,3
0.65,0.52,0.56,0.65,0.53,-9,0
0.65,0.5,0.56,0.65,0.5,21,2
0.65,0.57,0.56,0.66,0.54,274,2
0.67,0.64,0.58,0.66,0.64,30,3
0.68,0.51,0.55,0.65,0.53,-94,0
0.66,0.51,0.54,0.65,0.5,-42,0
0.67,0.51,0.56,0.65,0.51,98,2
0.66,0.51,0.55,0.67,0.55,247,2
0.67,0.59,0.57,0.66,0.58,25,3
0.69,0.59,0.56,0.66,0.61,35,3
0.65,0.51,0.54,0.65,0.53,68,2
0.65,0.54,0.55,0.65,0.55,193,2
0.7,0.61,0.57,0.67,0.64,-53,1
0.71,0.56,0.56,0.66,0.58,35,3
0.65,0.5,0.55,0.65,0.51,61,2
0.65,0.57,0.55,0.65,0.58,55,2
0.74,0.63,0.59,0.67,0.67,61,3
